b_evidence_id	source_a_evidence_id	b_edge_ids	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	consolidation_note
M21B-EVID-000001	M21A-SAT-EVID-001	M21B-E000001;M21B-E000002;M21B-E000003;M21B-E000004;M21B-E000005;M21B-E000006;M21B-E000007	pubmed_pmid	PMID:8999038; DOI:10.1074/jbc.271.51.32635; https://pubmed.ncbi.nlm.nih.gov/8999038/; PMID:9188471; DOI:10.1074/jbc.272.25.15760; https://pubmed.ncbi.nlm.nih.gov/9188471/	primary_experiment	human	pathway_membership	medium-high	Primary PubMed-abstract evidence for dual human OSM receptor-complex signaling: LIFR-gp130 and OSMRbeta-gp130 branches, with STAT3 shared and STAT5B reported for type II.	The primary abstracts report OSM-dependent activation of gp130-LIFR and gp130-OSMRbeta complexes, receptor-associated JAK activation, STAT3 recruitment, and type-II-associated STAT5B; assays and exact branch necessity require full-text confirmation.	Abstract-level source retrieval only in this recovery block; no purified ligand-occupancy claim, no exact receptor-specific JAK necessity, no SCI receiver-cell context, and no terminal-TF target.	receptor_proximal_or_pathway	true	A-layer receptor-complex pathway evidence recovered from primary PubMed abstracts; full-text and SCI-transfer boundaries retained.
M21B-EVID-000002	M21A-SAT-EVID-002	M21B-E000008;M21B-E000009;M21B-E000010;M21B-E000011;M21B-E000012	pubmed_pmid	PMID:9461596; PMID:7526154; PMID:7532278; PMID:8232552	primary_experiment	human	contextual_support	high	Type-I interferon receptor/JAK/STAT reconstitution and STAT2 loss-of-function	IFNAR1-TYK2 and IFNAR2-JAK1 associations, type-I IFN activation of STAT1/STAT2, and STAT2-dependent ISGF3 formation are supported; JAK1 complementation restores IFN response.	The record spans receptor-proximal and downstream pathway layers; use the layer register for edge-level classification. Most evidence is biochemical or transformed-cell comparator evidence.	mixed_receptor_proximal_and_downstream	true	A-layer evidence retained without directness promotion.
M21B-EVID-000003	M21A-SAT-EVID-003	M21B-E000013;M21B-E000014;M21B-E000015;M21B-E000016	pubmed_pmid	PMID:7673114; PMID:9653170; PMID:10228162	primary_experiment	human; mouse	pathway_membership	high	IFN-gamma receptor complex and Pyk2 branch	IFNGR1/2 activates JAK1, JAK2, and STAT1; IFNGR2 loss blocks signaling; Pyk2 supports an IFN-gamma-specific ERK2/MAPK1 branch.	The record spans receptor-proximal and pathway layers; MAPK3 involvement and universal IFN relay are not established. Pyk2/ERK is branch-specific.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M21B-EVID-000004	M21A-SAT-EVID-004	M21B-E000017;M21B-E000018;M21B-E000019;M21B-E000020;M21B-E000021;M21B-E000022	pubmed_pmid	PMID:8565075; PMID:16611992	primary_experiment	human; mouse	pathway_membership	high	TNFR1 TRADD/TRAF2/FADD bifurcation and RIPK1 death-complex study	TRADD links TNFR1 to TRAF2 and FADD; TRAF2 and FADD separate NF-kappaB and apoptotic branches, while RIPK1 remains relevant to necrotic/death outputs.	The record spans direct recruitment, non-ordered receptor-complex, and pathway branches; it does not establish a ternary TNFR1-TRADD-TRAF2 complex activating RIPK1 or all cell-state-specific TNF outputs.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M21B-EVID-000005	M21A-SAT-EVID-005	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	pubmed_pmid	PMID:11416133; PMID:11518704; PMID:12538665	primary_experiment	human; mouse	pathway_membership	high	IL-1 MyD88 IRAK TRAF6 NF-kappaB/JNK relay	MyD88 and IRAK are required for IL-1 responses; IRAK supports TRAF6/TAB2 recruitment; the MyD88 short isoform fails to recruit IRAK4.	The record spans receptor-proximal association and pathway branches; exact IRAK4-to-IRAK1 ordering and direct TRAF6 activation are not established.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M21B-EVID-000006	M21A-SAT-EVID-006	M21B-E000030;M21B-E000031;M21B-E000032;M21B-E000033	pubmed_pmid	PMID:31289212; PMID:17559806; PMID:28781651; PMID:19380820	primary_experiment	human	pathway_membership	high	CXCL12/CXCR4 G-protein, Akt/ERK, and Src-EGFR cross-talk	CXCR4 signaling supports GNAI coupling/dependence, Akt and ERK outputs, and a context-dependent Src-EGFR transactivation branch.	The bundle is human comparator evidence; direct CXCR4-GNAI binding, SCI receiver-cell specificity, and chemokine receptor subtype/ligand bias are not established.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M21B-EVID-000007	M21A-SAT-EVID-007	M21B-E000034;M21B-E000035;M21B-E000036	pubmed_pmid	PMCID:PMC1170167; PMID:9311995; DOI:10.1093/emboj/16.17.5353; https://europepmc.org/articles/PMC1170167?pdf=render; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B21B_TGFBR_SMAD_fulltext_9311995.pdf	primary_experiment	mammal	contextual_support	high	TGF-beta receptor-mediated Smad2/3/4 signaling; Europe PMC full-text PDF recovered and reviewed	TGF-beta1 induced Smad2/3 phosphorylation; receptor-activation-dependent Smad2/3 association with TbetaR-I, Smad2/3 association with Smad4, Smad2-Smad3 complex formation, nuclear accumulation, and bounded p3TPLux reporter output were measured in mink, human, and transfected COS systems.	Receptor-proximal and downstream pathway evidence, not purified ligand-receptor affinity. The paper does not establish a unique terminal genomic target, traumatic-SCI receiver-cell effect, or universal ligand/receptor branch transfer; preserve TGFBR1/TGFBR2, Smad2/3/4, and reporter outputs as distinct layers.	mixed_receptor_proximal_and_downstream	true	Validated primary full text with exact Results/figure/Discussion/Methods locators; no direct extracellular binding inference and no Module 20A change.
M21B-EVID-000008	M21A-SAT-EVID-008	M21B-E000037;M21B-E000038	pubmed_pmid	PMID:16765933	primary_experiment	mouse	contextual_support	high	BMP dose-dependent Smad1/5/8 signaling	BMP receptor activation of Smad1/5/8 is supported, with Smad4 retained as a downstream common-mediator pathway node.	The source does not resolve BMPR1A/B-BMPR2 composition or a direct Smad1/5/9-Smad4 physical interaction; paralog-specific use and adult SCI context remain open.	mixed_receptor_proximal_and_downstream	true	A-layer evidence retained without directness promotion.
M21B-EVID-000009	M21A-SAT-EVID-009	M21B-E000039;M21B-E000040;M21B-E000041;M21B-E000042;M21B-E000043	pubmed_pmid	PMID:7798267; PMID:8649846; PMID:11278445	primary_experiment	mammal	pathway_membership	high	EGFR Shc-Grb2-Sos-Ras and parallel PI3K-AKT/ERK branches	EGF induces receptor/Shc/Grb2/Sos coupling, Ras-GEF activity, and ERK signaling. EGFR-associated PI3K-AKT remains a candidate parallel branch, but the current bundle lacks a matched PI3K-specific primary experiment for E051.	The record spans direct adaptor association and pathway outputs; use the layer register for edge-level classification and do not encode signal duration.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
M21B-EVID-000010	M21A-SAT-EVID-010	M21B-E000044;M21B-E000045;M21B-E000046	pubmed_pmid	PMID:11447289; PMID:11997436	primary_experiment	mammal	pathway_membership	high	FGFR-FRS2 positive and negative branch evidence	FRS2A deficiency impairs FGF-induced ERK and PI3K activation; FRS2-bound Grb2 and PI3K branches are retained, with Cbl as an attenuation boundary.	The record spans adaptor association and pathway/requirement evidence; direct FGFR-FRS2A recruitment is not established by the deficiency assay alone, and FGFR paralog/ligand differences remain unresolved.	receptor_proximal_or_pathway	true	A-layer evidence retained without directness promotion.
